------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=06&areatype=county&topic=mob&demo=00021&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '06', 'areatype': 'county', 'topic': 'mob', 'demo': '00021', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_012.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=06&areatype=county&topic=mob&demo=00021&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for California by County
Mobility: Moved from outside US (in past year)
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Moved From Outside US),Rank within US
"United States",00000,0.7,2074097,"N/A"
"California",06000,0.8,318352,"44 of 51"
"Modoc County",06049,0.0,0,"1 of 3140"
"Sierra County",06091,0.0,0,"1 of 3140"
"Trinity County",06105,0.0,0,"1 of 3140"
"Del Norte County",06015,0.0,8,"461 of 3140"
"Calaveras County",06009,0.1,38,"827 of 3140"
"Siskiyou County",06093,0.1,43,"920 of 3140"
"Amador County",06005,0.1,37,"922 of 3140"
"Tehama County",06103,0.1,80,"1135 of 3140"
"Mariposa County",06043,0.1,23,"1153 of 3140"
"Tuolumne County",06109,0.1,72,"1174 of 3140"
"Colusa County",06011,0.2,39,"1484 of 3140"
"Lake County",06033,0.2,121,"1525 of 3140"
"Inyo County",06027,0.2,39,"1658 of 3140"
"Butte County",06007,0.2,502,"1694 of 3140"
"Humboldt County",06023,0.2,314,"1740 of 3140"
"Mendocino County",06045,0.3,242,"1936 of 3140"
"Madera County",06039,0.3,440,"1985 of 3140"
"Lassen County",06035,0.3,98,"2070 of 3140"
"Tulare County",06107,0.3,1466,"2101 of 3140"
"Glenn County",06021,0.3,92,"2129 of 3140"
"San Benito County",06069,0.3,202,"2178 of 3140"
"El Dorado County",06017,0.4,670,"2230 of 3140"
"Placer County",06061,0.4,1483,"2317 of 3140"
"Sonoma County",06097,0.4,1985,"2319 of 3140"
"Shasta County",06089,0.4,740,"2352 of 3140"
"Nevada County",06057,0.4,416,"2362 of 3140"
"Merced County",06047,0.4,1147,"2386 of 3140"
"Kern County",06029,0.5,3987,"2435 of 3140"
"San Joaquin County",06077,0.5,3537,"2493 of 3140"
"San Bernardino County",06071,0.5,10635,"2516 of 3140"
"Fresno County",06019,0.5,4898,"2525 of 3140"
"San Luis Obispo County",06079,0.5,1435,"2534 of 3140"
"Plumas County",06063,0.5,98,"2555 of 3140"
"Santa Cruz County",06087,0.5,1422,"2556 of 3140"
"Riverside County",06065,0.5,12255,"2558 of 3140"
"Stanislaus County",06099,0.6,2934,"2611 of 3140"
"Napa County",06055,0.6,779,"2613 of 3140"
"Ventura County",06111,0.6,4704,"2616 of 3140"
"Alpine County",06003,0.6,7,"2639 of 3140"
"Solano County",06095,0.6,2729,"2704 of 3140"
"Kings County",06031,0.6,961,"2723 of 3140"
"Sacramento County",06067,0.7,9622,"2730 of 3140"
"Yuba County",06115,0.7,539,"2811 of 3140"
"Los Angeles County",06037,0.8,76481,"2841 of 3140"
"Monterey County",06053,0.8,3430,"2861 of 3140"
"Orange County",06059,0.9,26776,"2898 of 3140"
"Contra Costa County",06013,0.9,10152,"2927 of 3140"
"Marin County",06041,0.9,2379,"2931 of 3140"
"Sutter County",06101,0.9,890,"2939 of 3140"
"Imperial County",06025,1.1,1909,"2987 of 3140"
"Santa Barbara County",06083,1.1,4887,"2995 of 3140"
"San Diego County",06073,1.1,36275,"2996 of 3140"
"San Mateo County",06081,1.2,9283,"3015 of 3140"
"Alameda County",06001,1.3,21552,"3043 of 3140"
"San Francisco County",06075,1.5,12967,"3061 of 3140"
"Santa Clara County",06085,1.9,36130,"3092 of 3140"
"Yolo County",06113,2.0,4124,"3095 of 3140"
"Mono County",06051,2.0,278,"3098 of 3140"

Created by statecancerprofiles.cancer.gov on 03/29/2020 4:58 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Mobility: Moved from outside US (in past year), see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#mobility."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
