------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=06&areatype=county&topic=ed&demo=00006&race=00&sex=0&age=081&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '06', 'areatype': 'county', 'topic': 'ed', 'demo': '00006', 'race': '00', 'sex': '0', 'age': '081', 'type': 'manyareacensus', 'file_name': 'demographics_003.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=06&areatype=county&topic=ed&demo=00006&race=00&sex=0&age=081&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for California by County
Education: At least bachelors degree
Population Ages 25+
"All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Education: At Least Bachelors Degree),Rank within US
"United States",00000,30.9,66887603,"N/A"
"California",06000,32.6,8453731,"15 of 52"
"Lassen County",06035,12.4,2781,"2767 of 3141"
"Glenn County",06021,13.0,2328,"2667 of 3141"
"Kings County",06031,13.0,11991,"2653 of 3141"
"Merced County",06047,13.8,21541,"2535 of 3141"
"Madera County",06039,13.8,13296,"2521 of 3141"
"Tulare County",06107,13.8,36891,"2520 of 3141"
"Imperial County",06025,14.3,15498,"2449 of 3141"
"Tehama County",06103,14.4,6195,"2431 of 3141"
"Del Norte County",06015,14.4,2804,"2416 of 3141"
"Lake County",06033,15.3,7116,"2244 of 3141"
"Colusa County",06011,15.7,2124,"2175 of 3141"
"Kern County",06029,15.8,83081,"2159 of 3141"
"Yuba County",06115,16.4,7628,"2037 of 3141"
"Modoc County",06049,16.6,1136,"2006 of 3141"
"Stanislaus County",06099,16.7,56202,"1984 of 3141"
"Sutter County",06101,17.5,10817,"1841 of 3141"
"San Joaquin County",06077,18.1,81503,"1750 of 3141"
"San Benito County",06069,19.2,7170,"1533 of 3141"
"Calaveras County",06009,19.3,6604,"1521 of 3141"
"Trinity County",06105,19.5,1966,"1493 of 3141"
"San Bernardino County",06071,19.8,259670,"1440 of 3141"
"Fresno County",06019,20.1,118389,"1383 of 3141"
"Tuolumne County",06109,20.6,8420,"1304 of 3141"
"Shasta County",06089,21.4,26715,"1195 of 3141"
"Sierra County",06091,21.4,495,"1192 of 3141"
"Riverside County",06065,21.5,322935,"1167 of 3141"
"Amador County",06005,22.1,6398,"1103 of 3141"
"Plumas County",06063,22.6,3271,"1040 of 3141"
"Siskiyou County",06093,22.7,7204,"1018 of 3141"
"Monterey County",06053,23.9,65441,"883 of 3141"
"Mariposa County",06043,24.4,3335,"842 of 3141"
"Mendocino County",06045,24.8,15285,"816 of 3141"
"Inyo County",06027,25.3,3344,"783 of 3141"
"Solano County",06095,25.6,75477,"764 of 3141"
"Alpine County",06003,25.6,208,"754 of 3141"
"Butte County",06007,26.6,38847,"684 of 3141"
"Humboldt County",06023,29.4,26884,"521 of 3141"
"Sacramento County",06067,29.9,297586,"493 of 3141"
"Los Angeles County",06037,31.2,2124306,"410 of 3141"
"Mono County",06051,31.5,3057,"393 of 3141"
"Ventura County",06111,32.6,183259,"350 of 3141"
"Santa Barbara County",06083,33.3,90764,"327 of 3141"
"El Dorado County",06017,33.3,44248,"324 of 3141"
"Sonoma County",06097,33.8,120262,"307 of 3141"
"San Luis Obispo County",06079,34.0,63177,"303 of 3141"
"Napa County",06055,34.6,33855,"282 of 3141"
"Nevada County",06057,35.8,26874,"241 of 3141"
"San Diego County",06073,37.4,820914,"211 of 3141"
"Placer County",06061,37.5,97771,"207 of 3141"
"Orange County",06059,39.1,833116,"177 of 3141"
"Santa Cruz County",06087,39.8,70607,"167 of 3141"
"Yolo County",06113,40.6,50405,"146 of 3141"
"Contra Costa County",06013,40.7,312505,"143 of 3141"
"Alameda County",06001,44.7,509294,"95 of 3141"
"San Mateo County",06081,48.5,264198,"56 of 3141"
"Santa Clara County",06085,50.0,655601,"47 of 3141"
"San Francisco County",06075,55.8,381066,"19 of 3141"
"Marin County",06041,57.5,109876,"15 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 4:57 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Education: At least bachelors degree, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#education."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
