------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=06&areatype=county&topic=pov&demo=00009&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '06', 'areatype': 'county', 'topic': 'pov', 'demo': '00009', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_030.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=06&areatype=county&topic=pov&demo=00009&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for California by County
Poverty: Persons below 150% of poverty
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (<150% Of Poverty),Rank within US
"United States",00000,23.7,74202606,"N/A"
"California",06000,24.7,9454218,"35 of 52"
"San Mateo County",06081,12.6,95347,"128 of 3141"
"Marin County",06041,13.1,33436,"140 of 3141"
"Placer County",06061,13.5,50179,"156 of 3141"
"Santa Clara County",06085,14.4,270507,"196 of 3141"
"Napa County",06055,16.2,22204,"312 of 3141"
"El Dorado County",06017,16.3,29960,"329 of 3141"
"Contra Costa County",06013,16.4,182236,"332 of 3141"
"Alameda County",06001,17.8,285484,"468 of 3141"
"Sonoma County",06097,18.0,89136,"493 of 3141"
"San Francisco County",06075,18.1,153626,"496 of 3141"
"Ventura County",06111,18.6,155929,"566 of 3141"
"Amador County",06005,18.7,6270,"572 of 3141"
"Inyo County",06027,18.7,3323,"583 of 3141"
"Mono County",06051,19.1,2662,"619 of 3141"
"Solano County",06095,19.3,81823,"635 of 3141"
"Calaveras County",06009,19.5,8688,"673 of 3141"
"San Benito County",06069,19.6,11438,"687 of 3141"
"Orange County",06059,20.1,626044,"756 of 3141"
"Nevada County",06057,20.1,19701,"767 of 3141"
"San Luis Obispo County",06079,20.6,54441,"828 of 3141"
"Tuolumne County",06109,21.7,10988,"971 of 3141"
"San Diego County",06073,21.9,700544,"995 of 3141"
"Plumas County",06063,22.5,4138,"1079 of 3141"
"Mariposa County",06043,23.1,4027,"1150 of 3141"
"Santa Cruz County",06087,23.2,60783,"1166 of 3141"
"Lassen County",06035,23.7,5115,"1247 of 3141"
"Sierra County",06091,24.7,706,"1403 of 3141"
"Santa Barbara County",06083,25.2,106910,"1472 of 3141"
"Riverside County",06065,26.0,602313,"1578 of 3141"
"Sacramento County",06067,26.5,390097,"1654 of 3141"
"Colusa County",06011,27.6,5877,"1824 of 3141"
"Monterey County",06053,27.9,115814,"1869 of 3141"
"Los Angeles County",06037,28.1,2798152,"1891 of 3141"
"Shasta County",06089,28.3,49941,"1929 of 3141"
"Yolo County",06113,28.4,58159,"1941 of 3141"
"San Joaquin County",06077,28.5,202692,"1959 of 3141"
"Yuba County",06115,29.2,21400,"2038 of 3141"
"Sutter County",06101,29.3,27687,"2059 of 3141"
"San Bernardino County",06071,29.4,606837,"2071 of 3141"
"Stanislaus County",06099,29.6,156992,"2087 of 3141"
"Alpine County",06003,29.8,354,"2114 of 3141"
"Glenn County",06021,31.4,8641,"2300 of 3141"
"Butte County",06007,31.6,69432,"2324 of 3141"
"Mendocino County",06045,31.7,27279,"2333 of 3141"
"Modoc County",06049,31.9,2783,"2348 of 3141"
"Siskiyou County",06093,32.5,13999,"2405 of 3141"
"Del Norte County",06015,33.1,7938,"2470 of 3141"
"Humboldt County",06023,33.5,44324,"2507 of 3141"
"Tehama County",06103,33.7,21011,"2526 of 3141"
"Kings County",06031,34.3,46096,"2578 of 3141"
"Lake County",06033,34.5,21745,"2589 of 3141"
"Madera County",06039,34.8,50859,"2620 of 3141"
"Trinity County",06105,35.8,4580,"2690 of 3141"
"Kern County",06029,36.0,304813,"2704 of 3141"
"Imperial County",06025,36.9,62740,"2783 of 3141"
"Fresno County",06019,37.9,362353,"2839 of 3141"
"Merced County",06047,38.8,101173,"2871 of 3141"
"Tulare County",06107,42.5,192492,"2996 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 4:58 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Poverty: Persons below 150% of poverty, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#poverty."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
