------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=06&areatype=county&topic=mob&demo=00018&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '06', 'areatype': 'county', 'topic': 'mob', 'demo': '00018', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_009.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=06&areatype=county&topic=mob&demo=00018&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for California by County
"Mobility: Moved, same county (in past year)"
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Moved Within County),Rank within US
"United States",00000,8.4,26717038,"N/A"
"California",06000,8.9,3411551,"34 of 51"
"Sierra County",06091,1.5,44,"58 of 3140"
"Alpine County",06003,2.4,29,"150 of 3140"
"Mariposa County",06043,3.7,650,"439 of 3140"
"Modoc County",06049,3.8,336,"450 of 3140"
"Calaveras County",06009,4.0,1780,"522 of 3140"
"Trinity County",06105,4.3,562,"635 of 3140"
"Glenn County",06021,4.8,1317,"814 of 3140"
"Inyo County",06027,5.6,1001,"1192 of 3140"
"San Mateo County",06081,5.6,42576,"1232 of 3140"
"Madera County",06039,5.7,8648,"1253 of 3140"
"Marin County",06041,5.8,15019,"1318 of 3140"
"El Dorado County",06017,6.0,11077,"1458 of 3140"
"San Benito County",06069,6.1,3499,"1462 of 3140"
"Monterey County",06053,6.1,25894,"1465 of 3140"
"Nevada County",06057,6.4,6246,"1621 of 3140"
"Amador County",06005,6.5,2389,"1658 of 3140"
"Mono County",06051,6.6,922,"1720 of 3140"
"San Francisco County",06075,6.6,56683,"1733 of 3140"
"Lassen County",06035,6.7,2097,"1774 of 3140"
"Alameda County",06001,7.0,112211,"1850 of 3140"
"Placer County",06061,7.0,25890,"1855 of 3140"
"Santa Cruz County",06087,7.1,19154,"1905 of 3140"
"Napa County",06055,7.2,10096,"1972 of 3140"
"Contra Costa County",06013,7.4,82389,"2060 of 3140"
"Ventura County",06111,7.5,62860,"2082 of 3140"
"Sutter County",06101,7.8,7394,"2213 of 3140"
"Solano County",06095,8.4,36254,"2385 of 3140"
"Del Norte County",06015,8.4,2279,"2389 of 3140"
"Santa Clara County",06085,8.5,159741,"2394 of 3140"
"Sonoma County",06097,8.5,42027,"2397 of 3140"
"Los Angeles County",06037,8.5,851215,"2416 of 3140"
"Riverside County",06065,8.7,201620,"2463 of 3140"
"Orange County",06059,8.8,273160,"2484 of 3140"
"San Bernardino County",06071,8.8,183328,"2485 of 3140"
"Mendocino County",06045,8.8,7600,"2490 of 3140"
"Plumas County",06063,9.0,1686,"2573 of 3140"
"Tehama County",06103,9.1,5663,"2581 of 3140"
"Tuolumne County",06109,9.3,4968,"2623 of 3140"
"Shasta County",06089,9.4,16604,"2648 of 3140"
"Tulare County",06107,9.5,42936,"2683 of 3140"
"Stanislaus County",06099,9.7,50955,"2711 of 3140"
"Siskiyou County",06093,9.8,4214,"2738 of 3140"
"San Joaquin County",06077,9.8,70228,"2751 of 3140"
"Merced County",06047,10.0,26292,"2779 of 3140"
"Yuba County",06115,10.3,7572,"2839 of 3140"
"Imperial County",06025,10.3,18275,"2843 of 3140"
"Colusa County",06011,10.3,2194,"2845 of 3140"
"Lake County",06033,10.3,6569,"2846 of 3140"
"San Luis Obispo County",06079,10.6,29429,"2881 of 3140"
"San Diego County",06073,10.8,349972,"2901 of 3140"
"Kings County",06031,10.8,16072,"2913 of 3140"
"Kern County",06029,11.0,95480,"2940 of 3140"
"Sacramento County",06067,11.1,163778,"2947 of 3140"
"Yolo County",06113,11.3,23755,"2970 of 3140"
"Fresno County",06019,12.1,115715,"3040 of 3140"
"Butte County",06007,12.5,27810,"3064 of 3140"
"Humboldt County",06023,12.6,16833,"3069 of 3140"
"Santa Barbara County",06083,12.9,56564,"3082 of 3140"

Created by statecancerprofiles.cancer.gov on 03/29/2020 4:58 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Mobility: Moved, same county (in past year), see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#mobility."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
